,Sector,intersection,climate,health
0,aerospace & defense,5.0,49.0,217.0
1,alternative energy,5.0,114.0,114.0
2,automobiles & parts,0.0,38.0,74.0
3,banks,6.0,272.0,173.0
4,beverages,23.0,273.0,235.0
5,chemicals,46.0,438.0,509.0
6,construction & materials,11.0,284.0,206.0
7,diversified,73.0,761.0,534.0
8,electricity,105.0,2206.0,1384.0
9,electronic & electrical equ...,5.0,67.0,72.0
10,finance and credit services,36.0,960.0,341.0
11,financial services,13.0,247.0,727.0
12,food producers,37.0,302.0,951.0
13,"gas, water & multiutilities",1.0,2.0,1.0
14,general industrials,82.0,915.0,1573.0
15,industrial engineering,7.0,45.0,70.0
16,industrial materials,5.0,82.0,54.0
17,industrial metals and mining,9.0,257.0,121.0
18,industrial support services,77.0,677.0,995.0
19,industrial transportation,49.0,717.0,923.0
20,investment banking and brokerage services,4.0,152.0,21.0
21,leisure goods,0.0,27.0,5.0
22,media,20.0,148.0,276.0
23,medical equipment and services; health care providers,2.0,48.0,575.0
24,nonlife insurance,8.0,158.0,136.0
25,not applicable,0.0,0.0,2.0
26,"oil, gas, & coal",33.0,375.0,918.0
27,pharmaceuticals & biotechno...,9.0,22.0,160.0
28,real estate investment & se...,6.0,147.0,254.0
29,retailers,5.0,119.0,72.0
30,software & computer services,31.0,737.0,420.0
31,technology hardware & equip...,50.0,761.0,608.0
32,telecommunications equipment; telecommunications service providers,0.0,3.0,0.0
33,travel & leisure,19.0,496.0,412.0
