,Sector,intersection,health,climate
0,aerospace & defense,1.5,24.0,14.5
1,banks,0.67,19.0,37.33
2,beverages,3.0,84.0,47.0
3,chemicals,4.0,54.0,46.0
4,construction & materials,1.0,25.67,27.33
5,diversified,3.1,22.4,34.7
6,electricity,3.29,43.0,105.14
7,electronic & electrical equ...,0.0,1.0,38.0
8,finance and credit services,2.43,37.0,96.0
9,food producers,0.0,5.0,1.0
10,"gas, water & multiutilities",1.0,1.0,2.0
11,general industrials,4.0,61.2,70.2
12,industrial engineering,1.0,29.0,21.0
13,industrial materials,5.0,46.0,76.0
14,industrial metals and mining,4.5,60.5,128.5
15,industrial support services,4.17,47.17,31.0
16,industrial transportation,2.4,30.8,41.0
17,investment banking and brokerage services,4.0,21.0,152.0
18,media,3.0,47.0,16.5
19,medical equipment and services; health care providers,0.0,179.0,0.0
20,nonlife insurance,6.0,96.0,128.0
21,"oil, gas, & coal",0.0,35.0,24.0
22,real estate investment & se...,1.0,47.0,47.5
23,retailers,5.0,72.0,119.0
24,software & computer services,3.0,39.12,69.0
25,technology hardware & equip...,3.5,29.75,49.0
