,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,23.0,337.0,496.0,856.0
1,1,Europe,2012.0,24.0,286.0,496.0,806.0
2,2,Europe,2013.0,10.0,242.0,560.0,812.0
3,3,Europe,2014.0,20.0,229.0,453.0,702.0
4,4,Europe,2015.0,21.0,280.0,719.0,1020.0
5,5,Europe,2016.0,30.0,388.0,839.0,1257.0
6,6,Europe,2017.0,30.0,413.0,700.0,1143.0
7,7,Europe,2018.0,16.0,337.0,385.0,738.0
8,8,Europe,2019.0,33.0,553.0,545.0,1131.0
9,9,Europe,2020.0,48.0,885.0,919.0,1852.0
10,10,Europe,2021.0,135.0,1362.0,1929.0,3426.0
11,11,Europe,2022.0,172.0,2080.0,2019.0,4271.0
12,12,Europe,2023.0,220.0,4507.0,3073.0,7800.0
