Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,12,3,10,0,0.25,0.83,0.0
2012.0,21,7,18,0,0.33,0.86,0.0
2013.0,19,6,18,1,0.32,0.95,0.05
2014.0,17,4,16,3,0.24,0.94,0.18
2015.0,22,7,22,0,0.32,1.0,0.0
2016.0,26,9,22,0,0.35,0.85,0.0
2017.0,20,7,17,0,0.35,0.85,0.0
2018.0,24,10,19,2,0.42,0.79,0.08
2019.0,23,11,19,1,0.48,0.83,0.04
2020.0,18,9,14,3,0.5,0.78,0.17
2021.0,27,14,23,3,0.52,0.85,0.11
2022.0,33,18,27,6,0.55,0.82,0.18
2023.0,15,11,13,6,0.73,0.87,0.4
