,WHO,Year,intersection,climate,health,sum
0,Americas,2011.0,0.0,9.0,85.0,94.0
1,Americas,2012.0,0.0,17.0,165.0,182.0
2,Americas,2013.0,1.0,32.0,246.0,279.0
3,Americas,2014.0,3.0,37.0,196.0,236.0
4,Americas,2015.0,0.0,31.0,293.0,324.0
5,Americas,2016.0,0.0,30.0,164.0,194.0
6,Americas,2017.0,0.0,15.0,147.0,162.0
7,Americas,2018.0,5.0,42.0,227.0,274.0
8,Americas,2019.0,3.0,22.0,258.0,283.0
9,Americas,2020.0,6.0,54.0,248.0,308.0
10,Americas,2021.0,12.0,83.0,784.0,879.0
11,Americas,2022.0,21.0,196.0,834.0,1051.0
12,Americas,2023.0,116.0,642.0,1070.0,1828.0
