,Sector,intersection,climate,health
0,automobiles & parts,0.0,0.0,0.0
1,banks,0.0,8.0,82.0
2,beverages,8.0,59.0,204.0
3,chemicals,0.0,1.0,103.0
4,construction & materials,0.0,21.0,24.0
5,diversified,45.0,376.0,606.0
6,electricity,1.0,48.0,328.0
7,finance and credit services,2.0,37.0,47.0
8,financial services,8.0,109.0,657.0
9,food producers,0.0,38.0,499.0
10,general industrials,41.0,137.0,285.0
11,industrial engineering,0.0,0.0,67.0
12,industrial materials,0.0,5.0,52.0
13,industrial support services,0.0,18.0,196.0
14,life insurance,1.0,7.0,64.0
15,media,0.0,0.0,2.0
16,nonlife insurance,6.0,13.0,138.0
17,not applicable,0.0,21.0,16.0
18,"oil, gas, & coal",0.0,0.0,16.0
19,personal goods,1.0,8.0,60.0
20,pharmaceuticals & biotechno...,44.0,209.0,449.0
21,real estate investment & se...,0.0,3.0,19.0
22,retailers,6.0,36.0,611.0
23,technology hardware & equip...,0.0,0.0,0.0
24,telecommunications equipment; telecommunications service providers,4.0,56.0,192.0
