,Sector,Climate,Health,Intersection,Year
0,automobiles & parts,0.0,0.0,0.0,2023
1,banks,0.18,0.88,0.0,2023
2,beverages,0.4,1.0,0.2,2023
3,chemicals,0.12,1.0,0.0,2023
4,construction & materials,0.67,0.5,0.0,2023
5,diversified,0.59,0.82,0.36,2023
6,electricity,1.0,1.0,0.25,2023
7,finance and credit services,1.0,1.0,0.5,2023
8,financial services,0.44,0.87,0.1,2023
9,food producers,0.36,0.93,0.0,2023
10,general industrials,0.23,0.85,0.08,2023
11,industrial engineering,0.0,0.89,0.0,2023
12,industrial materials,0.67,1.0,0.0,2023
13,industrial support services,0.27,0.81,0.0,2023
14,life insurance,0.67,1.0,0.17,2023
15,media,0.0,1.0,0.0,2023
16,nonlife insurance,0.6,0.8,0.2,2023
17,not applicable,0.45,0.64,0.0,2023
18,"oil, gas, & coal",0.0,1.0,0.0,2023
19,personal goods,0.5,0.88,0.12,2023
20,pharmaceuticals & biotechno...,1.0,1.0,1.0,2023
21,real estate investment & se...,1.0,1.0,0.0,2023
22,retailers,0.69,0.88,0.12,2023
23,technology hardware & equip...,0.0,0.0,0.0,2023
24,telecommunications equipment; telecommunications service providers,0.88,1.0,0.25,2023
