,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,banks,1,1,1,0,1.0,1.0,0.0
1,beverages,1,1,1,1,1.0,1.0,1.0
2,construction & materials,5,4,4,2,0.8,0.8,0.4
3,diversified,2,2,2,1,1.0,1.0,0.5
4,electricity,4,4,4,4,1.0,1.0,1.0
5,electronic & electrical equ...,1,1,1,1,1.0,1.0,1.0
6,finance and credit services,1,1,1,0,1.0,1.0,0.0
7,food producers,3,3,3,3,1.0,1.0,1.0
8,"gas, water & multiutilities",1,1,1,1,1.0,1.0,1.0
9,general industrials,1,1,1,0,1.0,1.0,0.0
10,industrial metals and mining,2,2,2,2,1.0,1.0,1.0
11,industrial support services,3,2,3,0,0.67,1.0,0.0
12,life insurance,1,1,1,0,1.0,1.0,0.0
13,medical equipment and services; health care providers,1,0,0,0,0.0,0.0,0.0
14,"oil, gas, & coal",1,0,0,0,0.0,0.0,0.0
15,personal goods,2,1,1,1,0.5,0.5,0.5
16,pharmaceuticals & biotechno...,1,1,1,0,1.0,1.0,0.0
17,retailers,1,1,1,1,1.0,1.0,1.0
