,Year,intersection,health,climate
0,2011.0,0.0,0.0,0.0
1,2012.0,0.0,13.5,0.0
2,2013.0,0.0,4.4,0.4
3,2014.0,0.0,3.6,0.4
4,2015.0,0.0,7.666666666666667,0.0
5,2016.0,1.4,22.6,3.0
6,2017.0,0.3333333333333333,7.833333333333333,1.0
7,2018.0,3.3333333333333335,90.0,26.333333333333332
8,2019.0,0.8333333333333334,52.5,17.666666666666668
9,2020.0,0.7142857142857143,60.57142857142857,25.0
10,2021.0,4.384615384615385,102.3076923076923,22.846153846153847
11,2022.0,4.555555555555555,111.88888888888889,60.888888888888886
12,2023.0,4.769230769230769,64.15384615384616,62.69230769230769
