,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011.0,0.0,0.0,0.0,0.0
1,Western Pacific,2012.0,0.0,0.0,27.0,27.0
2,Western Pacific,2013.0,0.0,2.0,22.0,24.0
3,Western Pacific,2014.0,0.0,2.0,18.0,20.0
4,Western Pacific,2015.0,0.0,0.0,23.0,23.0
5,Western Pacific,2016.0,7.0,15.0,113.0,135.0
6,Western Pacific,2017.0,2.0,6.0,47.0,55.0
7,Western Pacific,2018.0,10.0,79.0,270.0,359.0
8,Western Pacific,2019.0,5.0,106.0,315.0,426.0
9,Western Pacific,2020.0,5.0,175.0,424.0,604.0
10,Western Pacific,2021.0,57.0,297.0,1330.0,1684.0
11,Western Pacific,2022.0,41.0,548.0,1007.0,1596.0
12,Western Pacific,2023.0,62.0,815.0,834.0,1711.0
