,Sector,intersection,climate,health
0,chemicals,0.0,6.0,80.0
1,construction & materials,5.0,31.0,48.0
2,diversified,81.0,715.0,1922.0
3,electricity,4.0,260.0,196.0
4,electronic & electrical equ...,0.0,0.0,7.0
5,financial services,5.0,78.0,264.0
6,food producers,0.0,4.0,13.0
7,general industrials,4.0,6.0,46.0
8,industrial engineering,0.0,0.0,0.0
9,industrial metals & mining,0.0,0.0,8.0
10,industrial metals and mining,11.0,45.0,238.0
11,industrial support services,0.0,0.0,9.0
12,media,1.0,11.0,74.0
13,medical equipment and services; health care providers,24.0,26.0,202.0
14,not applicable,0.0,1.0,12.0
15,personal goods,1.0,1.0,136.0
16,retailers,0.0,18.0,17.0
17,software & computer services,13.0,178.0,163.0
18,telecommunications equipment; telecommunications service providers,40.0,665.0,995.0
