,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Asia,2011.0,0.0,0.0,0.0,0.0
1,1,Asia,2012.0,0.0,0.0,27.0,27.0
2,2,Asia,2013.0,0.0,2.0,22.0,24.0
3,3,Asia,2014.0,0.0,2.0,18.0,20.0
4,4,Asia,2015.0,0.0,0.0,23.0,23.0
5,5,Asia,2016.0,7.0,15.0,113.0,135.0
6,6,Asia,2017.0,2.0,6.0,47.0,55.0
7,7,Asia,2018.0,10.0,79.0,270.0,359.0
8,8,Asia,2019.0,5.0,106.0,315.0,426.0
9,9,Asia,2020.0,5.0,175.0,424.0,604.0
10,10,Asia,2021.0,57.0,297.0,1330.0,1684.0
11,11,Asia,2022.0,41.0,548.0,1007.0,1596.0
12,12,Asia,2023.0,62.0,815.0,834.0,1711.0
