Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,14,10,11,3,0.71,0.79,0.21
2012.0,14,9,11,5,0.64,0.79,0.36
2013.0,17,15,16,7,0.88,0.94,0.41
2014.0,21,16,19,6,0.76,0.9,0.29
2015.0,22,14,18,5,0.64,0.82,0.23
2016.0,19,9,15,2,0.47,0.79,0.11
2017.0,20,10,16,2,0.5,0.8,0.1
2018.0,16,9,12,2,0.56,0.75,0.12
2019.0,14,9,8,3,0.64,0.57,0.21
2020.0,15,9,13,2,0.6,0.87,0.13
2021.0,20,11,17,4,0.55,0.85,0.2
2022.0,21,17,17,6,0.81,0.81,0.29
2023.0,33,31,32,23,0.94,0.97,0.7
