,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,7.0,164.0,244.0,415.0
1,Europe,2012.0,7.0,158.0,276.0,441.0
2,Europe,2013.0,9.0,238.0,340.0,587.0
3,Europe,2014.0,13.0,249.0,614.0,876.0
4,Europe,2015.0,7.0,131.0,244.0,382.0
5,Europe,2016.0,2.0,59.0,216.0,277.0
6,Europe,2017.0,2.0,78.0,238.0,318.0
7,Europe,2018.0,2.0,78.0,213.0,293.0
8,Europe,2019.0,4.0,57.0,140.0,201.0
9,Europe,2020.0,3.0,140.0,260.0,403.0
10,Europe,2021.0,22.0,217.0,682.0,921.0
11,Europe,2022.0,21.0,411.0,683.0,1115.0
12,Europe,2023.0,158.0,2555.0,2109.0,4822.0
