,Sector,intersection,climate,health
0,alternative energy,0.0,0.0,24.0
1,automobiles & parts,3.0,22.0,64.0
2,banks,33.0,571.0,613.0
3,beverages,10.0,165.0,219.0
4,chemicals,1.0,14.0,56.0
5,construction & materials,0.0,33.0,98.0
6,diversified,30.0,730.0,514.0
7,electricity,14.0,741.0,594.0
8,finance and credit services,6.0,137.0,200.0
9,financial services,6.0,81.0,107.0
10,"gas, water & multiutilities",4.0,18.0,61.0
11,general industrials,4.0,101.0,186.0
12,household goods & home cons...,0.0,0.0,6.0
13,industrial engineering,0.0,0.0,38.0
14,industrial materials,0.0,6.0,10.0
15,industrial metals & mining,3.0,137.0,120.0
16,industrial metals and mining,0.0,8.0,38.0
17,industrial support services,0.0,8.0,36.0
18,industrial transportation,3.0,50.0,29.0
19,investment banking and brokerage services,0.0,0.0,5.0
20,media,0.0,4.0,15.0
21,medical equipment and services; health care providers,35.0,56.0,629.0
22,nonlife insurance,21.0,165.0,253.0
23,not applicable,0.0,1.0,0.0
24,"oil, gas, & coal",14.0,530.0,733.0
25,pharmaceuticals & biotechno...,8.0,34.0,291.0
26,real estate investment & se...,23.0,281.0,244.0
27,retailers,25.0,421.0,809.0
28,software & computer services,10.0,178.0,137.0
29,technology hardware & equip...,0.0,2.0,23.0
30,telecommunications equipment; telecommunications service providers,0.0,23.0,50.0
31,travel & leisure,4.0,18.0,57.0
