,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,alternative energy,1,0,1,0,0.0,1.0,0.0
1,automobiles & parts,1,1,1,1,1.0,1.0,1.0
2,banks,3,3,3,2,1.0,1.0,0.67
3,beverages,1,1,1,1,1.0,1.0,1.0
4,diversified,5,5,5,5,1.0,1.0,1.0
5,electricity,1,1,1,1,1.0,1.0,1.0
6,finance and credit services,3,3,3,3,1.0,1.0,1.0
7,general industrials,1,1,1,0,1.0,1.0,0.0
8,industrial metals and mining,1,1,1,0,1.0,1.0,0.0
9,industrial support services,2,2,2,0,1.0,1.0,0.0
10,industrial transportation,1,1,1,1,1.0,1.0,1.0
11,investment banking and brokerage services,1,0,1,0,0.0,1.0,0.0
12,medical equipment and services; health care providers,2,2,2,2,1.0,1.0,1.0
13,nonlife insurance,1,1,1,1,1.0,1.0,1.0
14,not applicable,1,1,0,0,1.0,0.0,0.0
15,real estate investment & se...,2,2,2,2,1.0,1.0,1.0
16,retailers,4,4,4,3,1.0,1.0,0.75
17,software & computer services,1,1,1,1,1.0,1.0,1.0
18,technology hardware & equip...,1,1,1,0,1.0,1.0,0.0
