Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,15,11,12,4,0.73,0.8,0.27
2012.0,16,9,15,2,0.56,0.94,0.12
2013.0,14,8,12,1,0.57,0.86,0.07
2014.0,18,11,16,4,0.61,0.89,0.22
2015.0,18,7,15,3,0.39,0.83,0.17
2016.0,17,8,14,3,0.47,0.82,0.18
2017.0,18,8,15,1,0.44,0.83,0.06
2018.0,21,10,16,4,0.48,0.76,0.19
2019.0,23,16,19,7,0.7,0.83,0.3
2020.0,18,14,16,8,0.78,0.89,0.44
2021.0,33,23,28,10,0.7,0.85,0.3
2022.0,34,31,32,13,0.91,0.94,0.38
2023.0,43,38,40,35,0.88,0.93,0.81
