,Sector,intersection,climate,health
0,automobiles & parts,8.0,181.0,227.0
1,banks,3.0,84.0,247.0
2,beverages,0.0,15.0,47.0
3,chemicals,0.0,0.0,4.0
4,diversified,56.0,674.0,990.0
5,electricity,27.0,1217.0,560.0
6,finance and credit services,1.0,31.0,53.0
7,financial services,5.0,117.0,219.0
8,food producers,0.0,0.0,10.0
9,"gas, water & multiutilities",134.0,1723.0,1821.0
10,general industrials,15.0,167.0,347.0
11,industrial engineering,3.0,68.0,60.0
12,industrial materials,7.0,132.0,73.0
13,industrial support services,7.0,68.0,147.0
14,industrial transportation,9.0,199.0,705.0
15,life insurance,11.0,166.0,156.0
16,medical equipment and services; health care providers,6.0,20.0,401.0
17,nonlife insurance,16.0,33.0,222.0
18,not applicable,0.0,0.0,101.0
19,"oil, gas, & coal",28.0,743.0,425.0
20,pharmaceuticals & biotechno...,2.0,14.0,231.0
21,real estate investment & se...,1.0,5.0,15.0
22,retailers,16.0,468.0,1172.0
23,software & computer services,12.0,250.0,256.0
24,telecommunications equipment; telecommunications service providers,42.0,349.0,1208.0
25,travel & leisure,0.0,3.0,22.0
