,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,12.0,199.0,349.0,560.0
1,1,Europe,2012.0,3.0,287.0,434.0,724.0
2,2,Europe,2013.0,1.0,103.0,292.0,396.0
3,3,Europe,2014.0,8.0,240.0,513.0,761.0
4,4,Europe,2015.0,4.0,127.0,214.0,345.0
5,5,Europe,2016.0,5.0,187.0,276.0,468.0
6,6,Europe,2017.0,1.0,177.0,317.0,495.0
7,7,Europe,2018.0,5.0,146.0,368.0,519.0
8,8,Europe,2019.0,16.0,391.0,494.0,901.0
9,9,Europe,2020.0,15.0,367.0,436.0,818.0
10,10,Europe,2021.0,33.0,433.0,1103.0,1569.0
11,11,Europe,2022.0,67.0,947.0,1408.0,2422.0
12,12,Europe,2023.0,239.0,3123.0,3515.0,6877.0
