,Sector,Total documents,Climate (N),Health(N),Intersection(N),Climate,Health,Intersection
0,banks,1,1,1,1,1.0,1.0,1.0
1,chemicals,1,0,1,0,0.0,1.0,0.0
2,diversified,7,6,7,6,0.86,1.0,0.86
3,electricity,1,1,1,1,1.0,1.0,1.0
4,finance and credit services,1,1,1,1,1.0,1.0,1.0
5,"gas, water & multiutilities",11,11,11,11,1.0,1.0,1.0
6,general industrials,2,2,2,2,1.0,1.0,1.0
7,industrial engineering,1,1,1,1,1.0,1.0,1.0
8,industrial materials,1,1,1,1,1.0,1.0,1.0
9,industrial support services,3,2,2,1,0.67,0.67,0.33
10,industrial transportation,1,1,1,0,1.0,1.0,0.0
11,life insurance,1,1,0,0,1.0,0.0,0.0
12,medical equipment and services; health care providers,1,1,1,1,1.0,1.0,1.0
13,nonlife insurance,1,1,1,1,1.0,1.0,1.0
14,not applicable,1,0,1,0,0.0,1.0,0.0
15,"oil, gas, & coal",1,1,1,1,1.0,1.0,1.0
16,pharmaceuticals & biotechno...,1,1,1,1,1.0,1.0,1.0
17,real estate investment & se...,1,1,1,1,1.0,1.0,1.0
18,retailers,2,2,2,2,1.0,1.0,1.0
19,software & computer services,2,2,2,2,1.0,1.0,1.0
20,telecommunications equipment; telecommunications service providers,1,1,1,1,1.0,1.0,1.0
21,travel & leisure,1,0,0,0,0.0,0.0,0.0
