,Sector,intersection,climate,health
0,automobiles & parts,2.0,43.0,119.0
1,banks,1.0,9.0,40.0
2,construction & materials,3.0,40.0,59.0
3,diversified,0.0,6.0,21.0
4,financial services,0.0,22.0,6.0
5,"gas, water & multiutilities",0.0,2.0,8.0
6,industrial metals & mining,0.0,0.0,6.0
7,industrial support services,0.0,0.0,8.0
8,"oil, gas, & coal",20.0,258.0,445.0
9,real estate investment & se...,0.0,5.0,6.0
10,retailers,1.0,32.0,170.0
11,software & computer services,0.0,14.0,54.0
12,telecommunications equipment; telecommunications service providers,8.0,85.0,228.0
