,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,0.0,5.0,86.0,91.0
1,1,Europe,2012.0,2.0,60.0,307.0,369.0
2,2,Europe,2013.0,3.0,71.0,297.0,371.0
3,3,Europe,2014.0,1.0,33.0,210.0,244.0
4,4,Europe,2015.0,6.0,38.0,290.0,334.0
5,5,Europe,2016.0,4.0,41.0,411.0,456.0
6,6,Europe,2017.0,5.0,92.0,504.0,601.0
7,7,Europe,2018.0,6.0,41.0,232.0,279.0
8,8,Europe,2019.0,12.0,200.0,692.0,904.0
9,9,Europe,2020.0,33.0,353.0,837.0,1223.0
10,10,Europe,2021.0,99.0,1016.0,2198.0,3313.0
11,11,Europe,2022.0,32.0,650.0,881.0,1563.0
12,12,Europe,2023.0,98.0,1026.0,1385.0,2509.0
