,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2013.0,0.0,5.0,174.0,179.0
1,Eastern Mediterranean,2014.0,0.0,0.0,0.0,0.0
2,Eastern Mediterranean,2015.0,0.0,0.0,26.0,26.0
3,Eastern Mediterranean,2016.0,2.0,33.0,49.0,84.0
4,Eastern Mediterranean,2017.0,0.0,2.0,8.0,10.0
5,Eastern Mediterranean,2018.0,0.0,4.0,19.0,23.0
6,Eastern Mediterranean,2019.0,3.0,25.0,25.0,53.0
7,Eastern Mediterranean,2020.0,1.0,6.0,6.0,13.0
8,Eastern Mediterranean,2021.0,1.0,18.0,54.0,73.0
9,Eastern Mediterranean,2022.0,13.0,28.0,139.0,180.0
10,Eastern Mediterranean,2023.0,134.0,1058.0,1020.0,2212.0
