,Sector,intersection,climate,health
0,banks,2.0,19.0,18.0
1,chemicals,26.0,165.0,289.0
2,construction & materials,0.0,0.0,15.0
3,diversified,17.0,373.0,279.0
4,food producers,4.0,15.0,20.0
5,general industrials,0.0,0.0,1.0
6,industrial engineering,1.0,103.0,27.0
7,industrial support services,0.0,1.0,13.0
8,medical equipment and services; health care providers,0.0,5.0,174.0
9,personal goods,23.0,152.0,195.0
10,pharmaceuticals & biotechno...,59.0,60.0,258.0
11,real estate investment & se...,12.0,114.0,76.0
12,retailers,0.0,4.0,28.0
13,software & computer services,10.0,168.0,127.0
