,Sector,Climate,Health,Intersection,Year
0,banks,1.0,1.0,1.0,2023
1,chemicals,0.69,0.92,0.46,2023
2,construction & materials,0.0,1.0,0.0,2023
3,diversified,0.83,1.0,0.5,2023
4,food producers,1.0,1.0,1.0,2023
5,general industrials,0.0,1.0,0.0,2023
6,industrial engineering,1.0,1.0,1.0,2023
7,industrial support services,0.33,1.0,0.0,2023
8,medical equipment and services; health care providers,1.0,1.0,0.0,2023
9,personal goods,1.0,1.0,1.0,2023
10,pharmaceuticals & biotechno...,1.0,1.0,1.0,2023
11,real estate investment & se...,1.0,1.0,1.0,2023
12,retailers,1.0,1.0,0.0,2023
13,software & computer services,1.0,1.0,1.0,2023
