Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,11,4,10,0,0.36,0.91,0.0
2012.0,11,7,8,3,0.64,0.73,0.27
2013.0,14,6,13,1,0.43,0.93,0.07
2014.0,14,5,10,1,0.36,0.71,0.07
2015.0,15,7,12,0,0.47,0.8,0.0
2016.0,5,3,5,0,0.6,1.0,0.0
2017.0,8,5,6,1,0.62,0.75,0.12
2018.0,7,4,6,1,0.57,0.86,0.14
2019.0,6,4,5,1,0.67,0.83,0.17
2020.0,9,6,8,1,0.67,0.89,0.11
2021.0,8,7,8,3,0.88,1.0,0.38
2022.0,11,9,10,2,0.82,0.91,0.18
2023.0,11,9,11,7,0.82,1.0,0.64
