,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,0.0,28.0,68.0,96.0
1,1,Europe,2012.0,9.0,74.0,138.0,221.0
2,2,Europe,2013.0,1.0,30.0,155.0,186.0
3,3,Europe,2014.0,2.0,37.0,113.0,152.0
4,4,Europe,2015.0,0.0,20.0,82.0,102.0
5,5,Europe,2016.0,0.0,15.0,30.0,45.0
6,6,Europe,2017.0,1.0,42.0,78.0,121.0
7,7,Europe,2018.0,2.0,50.0,270.0,322.0
8,8,Europe,2019.0,3.0,41.0,167.0,211.0
9,9,Europe,2020.0,12.0,104.0,156.0,272.0
10,10,Europe,2021.0,11.0,100.0,425.0,536.0
11,11,Europe,2022.0,8.0,67.0,567.0,642.0
12,12,Europe,2023.0,62.0,881.0,1223.0,2166.0
