,Sector,intersection,climate,health
0,aerospace & defense,49.0,376.0,743.0
1,alternative energy,86.0,683.0,615.0
2,automobiles & parts,11.0,58.0,106.0
3,banks,1.0,73.0,17.0
4,chemicals,4.0,115.0,319.0
5,construction & materials,0.0,0.0,3.0
6,diversified,165.0,1722.0,2616.0
7,electronic & electrical equ...,6.0,204.0,186.0
8,finance and credit services,12.0,281.0,116.0
9,financial services,3.0,148.0,66.0
10,food producers,93.0,713.0,1745.0
11,"gas, water & multiutilities",56.0,274.0,438.0
12,general industrials,49.0,597.0,1284.0
13,industrial engineering,0.0,9.0,0.0
14,industrial materials,23.0,177.0,306.0
15,industrial support services,11.0,184.0,177.0
16,industrial transportation,52.0,535.0,612.0
17,life insurance,29.0,99.0,240.0
18,media,0.0,3.0,32.0
19,medical equipment and services; health care providers,1.0,4.0,18.0
20,not applicable,0.0,1.0,17.0
21,"oil, gas, & coal",4.0,218.0,131.0
22,personal goods,4.0,42.0,31.0
23,pharmaceuticals & biotechno...,45.0,153.0,705.0
24,real estate investment & se...,165.0,2441.0,2785.0
25,software & computer services,5.0,77.0,50.0
26,technology hardware & equip...,0.0,0.0,8.0
27,telecommunications equipment; telecommunications service providers,23.0,372.0,515.0
28,travel & leisure,43.0,654.0,938.0
