,Sector,intersection,health,climate
0,aerospace & defense,10.0,75.0,83.0
1,alternative energy,1.0,54.0,51.0
2,automobiles & parts,7.0,67.0,47.0
3,diversified,4.33,69.17,116.67
4,electronic & electrical equ...,2.0,50.0,65.33
5,finance and credit services,3.33,27.0,89.67
6,food producers,0.0,20.0,36.0
7,general industrials,0.33,39.0,8.67
8,industrial engineering,0.0,0.0,0.0
9,industrial materials,14.0,140.0,80.0
10,industrial support services,7.0,43.0,95.0
11,industrial transportation,2.75,74.25,76.75
12,personal goods,4.0,31.0,42.0
13,pharmaceuticals & biotechno...,19.0,335.0,77.0
14,real estate investment & se...,8.8,100.2,154.4
15,software & computer services,2.5,21.0,28.5
16,telecommunications equipment; telecommunications service providers,6.0,91.5,103.5
17,travel & leisure,1.0,64.0,35.5
