Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,17,17,17,5,1.0,1.0,0.29
2012.0,15,12,12,3,0.8,0.8,0.2
2013.0,20,17,19,9,0.85,0.95,0.45
2014.0,25,20,23,9,0.8,0.92,0.36
2015.0,25,19,23,8,0.76,0.92,0.32
2016.0,28,24,28,12,0.86,1.0,0.43
2017.0,22,17,19,9,0.77,0.86,0.41
2018.0,18,15,17,6,0.83,0.94,0.33
2019.0,22,17,20,8,0.77,0.91,0.36
2020.0,14,11,12,6,0.79,0.86,0.43
2021.0,25,17,22,12,0.68,0.88,0.48
2022.0,20,15,18,8,0.75,0.9,0.4
2023.0,21,20,21,19,0.95,1.0,0.9
