,WHO,Year,intersection,climate,health,sum
0,Africa,2011.0,32.0,309.0,452.0,793.0
1,Africa,2012.0,7.0,109.0,356.0,472.0
2,Africa,2013.0,32.0,368.0,985.0,1385.0
3,Africa,2014.0,26.0,418.0,884.0,1328.0
4,Africa,2015.0,29.0,531.0,1211.0,1771.0
5,Africa,2016.0,31.0,527.0,1238.0,1796.0
6,Africa,2017.0,33.0,366.0,865.0,1264.0
7,Africa,2018.0,11.0,187.0,409.0,607.0
8,Africa,2019.0,28.0,313.0,558.0,899.0
9,Africa,2020.0,17.0,320.0,458.0,795.0
10,Africa,2021.0,64.0,590.0,839.0,1493.0
11,Africa,2022.0,31.0,485.0,514.0,1030.0
12,Africa,2023.0,125.0,1469.0,2234.0,3828.0
