,Sector,intersection,health,climate
0,chemicals,4.0,70.0,89.0
1,diversified,3.5,41.0,23.5
2,electricity,4.0,50.0,95.0
3,finance and credit services,2.0,43.5,69.0
4,food producers,3.0,21.0,48.0
5,general industrials,3.0,33.0,21.0
6,industrial materials,12.5,89.5,145.5
7,industrial metals and mining,4.0,103.0,88.0
8,industrial transportation,4.0,67.0,4.0
9,medical equipment and services; health care providers,10.0,77.0,22.0
10,nonlife insurance,5.0,723.0,95.0
11,open end and miscellaneous investment vehicles,0.0,17.0,0.0
12,pharmaceuticals & biotechno...,18.0,211.0,59.0
13,real estate investment trusts,11.0,112.0,156.0
14,retailers,5.5,80.5,70.0
15,technology hardware & equip...,1.0,129.0,20.0
