,Sector,Climate,Health,Intersection,Year
0,aerospace & defense,0.33,0.33,0.0,2023
1,beverages,0.75,1.0,0.0,2023
2,chemicals,1.0,1.0,0.75,2023
3,construction & materials,1.0,1.0,0.0,2023
4,diversified,0.36,1.0,0.27,2023
5,electricity,1.0,1.0,1.0,2023
6,finance and credit services,0.67,1.0,0.67,2023
7,financial services,0.97,0.97,0.42,2023
8,food producers,1.0,1.0,0.5,2023
9,general industrials,0.81,1.0,0.06,2023
10,industrial materials,1.0,0.93,0.8,2023
11,industrial metals & mining,0.94,0.83,0.44,2023
12,industrial metals and mining,1.0,1.0,0.79,2023
13,industrial support services,0.5,0.45,0.0,2023
14,industrial transportation,0.41,1.0,0.35,2023
15,media,1.0,1.0,0.33,2023
16,medical equipment and services; health care providers,0.86,1.0,0.71,2023
17,nonlife insurance,1.0,1.0,0.6,2023
18,not applicable,1.0,1.0,0.67,2023
19,open end and miscellaneous investment vehicles,0.0,1.0,0.0,2023
20,pharmaceuticals & biotechno...,0.62,1.0,0.44,2023
21,real estate investment trusts,1.0,1.0,1.0,2023
22,retailers,0.96,0.96,0.36,2023
23,software & computer services,1.0,1.0,1.0,2023
24,technology hardware & equip...,1.0,1.0,1.0,2023
25,telecommunications equipment; telecommunications service providers,0.64,0.93,0.29,2023
26,travel & leisure,0.92,0.92,0.31,2023
