Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,357,170,272,26,0.48,0.76,0.07
2012.0,631,252,459,24,0.4,0.73,0.04
2013.0,475,208,350,37,0.44,0.74,0.08
2014.0,441,189,359,24,0.43,0.81,0.05
2015.0,496,249,410,36,0.5,0.83,0.07
2016.0,475,232,395,33,0.49,0.83,0.07
2017.0,494,233,414,47,0.47,0.84,0.1
2018.0,494,239,413,51,0.48,0.84,0.1
2019.0,558,306,476,74,0.55,0.85,0.13
2020.0,456,314,402,107,0.69,0.88,0.23
2021.0,750,526,673,221,0.7,0.9,0.29
2022.0,767,575,686,280,0.75,0.89,0.37
2023.0,409,351,366,203,0.86,0.89,0.5
