,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,50.0,1163.0,4837.0,6050.0
1,Europe,2012.0,51.0,1115.0,5160.0,6326.0
2,Europe,2013.0,84.0,1678.0,5727.0,7489.0
3,Europe,2014.0,56.0,1325.0,5100.0,6481.0
4,Europe,2015.0,62.0,1511.0,6267.0,7840.0
5,Europe,2016.0,60.0,1619.0,6499.0,8178.0
6,Europe,2017.0,134.0,1812.0,6827.0,8773.0
7,Europe,2018.0,94.0,1596.0,7753.0,9443.0
8,Europe,2019.0,184.0,2475.0,8271.0,10930.0
9,Europe,2020.0,254.0,3021.0,8960.0,12235.0
10,Europe,2021.0,765.0,6268.0,21503.0,28536.0
11,Europe,2022.0,845.0,8682.0,21661.0,31188.0
12,Europe,2023.0,946.0,14939.0,18158.0,34043.0
