,Sector,intersection,health,climate
0,aerospace & defense,1.67,39.33,42.67
1,alternative energy,3.09,41.36,63.0
2,automobiles & parts,3.88,54.5,54.5
3,banks,4.0,68.27,132.0
4,beverages,0.71,31.29,15.86
5,chemicals,2.81,61.44,40.38
6,construction & materials,3.3,36.67,30.09
7,diversified,1.5,8.0,78.5
8,electricity,3.83,54.5,114.17
9,electronic & electrical equ...,0.6,22.4,3.8
10,finance and credit services,8.78,60.22,81.33
11,food producers,2.14,40.18,26.68
12,"gas, water & multiutilities",6.17,92.42,106.33
13,general industrials,1.04,19.91,12.87
14,household goods & home cons...,0.0,25.0,51.0
15,industrial engineering,0.59,26.41,23.65
16,industrial materials,0.8,18.4,13.6
17,industrial metals and mining,3.44,42.22,35.67
18,industrial support services,1.2,29.64,13.4
19,industrial transportation,1.52,45.05,26.57
20,investment banking and brokerage services,4.0,37.38,58.25
21,life insurance,0.0,69.5,145.5
22,media,0.83,35.0,23.5
23,medical equipment and services; health care providers,6.0,175.33,21.0
24,nonlife insurance,4.57,120.29,34.14
25,not applicable,1.5,10.0,12.17
26,"oil, gas, & coal",2.0,82.0,124.0
27,personal goods,0.57,31.57,16.43
28,pharmaceuticals & biotechno...,5.71,162.29,49.0
29,real estate investment & se...,1.25,30.67,43.17
30,retailers,0.75,23.81,15.81
31,software & computer services,1.15,25.35,20.65
32,technology hardware & equip...,0.33,21.0,7.0
33,telecommunications equipment; telecommunications service providers,6.0,131.33,173.33
34,travel & leisure,1.86,42.29,26.62
