Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,10,8,8,1,0.8,0.8,0.1
2012.0,17,10,12,3,0.59,0.71,0.18
2013.0,16,13,12,4,0.81,0.75,0.25
2014.0,19,13,13,3,0.68,0.68,0.16
2015.0,23,17,18,7,0.74,0.78,0.3
2016.0,18,12,15,7,0.67,0.83,0.39
2017.0,15,9,12,5,0.6,0.8,0.33
2018.0,17,11,14,3,0.65,0.82,0.18
2019.0,17,14,16,7,0.82,0.94,0.41
2020.0,17,12,14,3,0.71,0.82,0.18
2021.0,24,18,23,9,0.75,0.96,0.38
2022.0,27,24,25,12,0.89,0.93,0.44
2023.0,17,16,15,11,0.94,0.88,0.65
