,Sector,Climate,Health,Intersection,Year
0,alternative energy,1.0,1.0,0.0,2023
1,beverages,0.62,0.47,0.21,2023
2,chemicals,0.89,1.0,0.11,2023
3,construction & materials,0.88,0.88,0.41,2023
4,diversified,0.91,0.89,0.42,2023
5,financial services,1.0,0.67,0.22,2023
6,food producers,0.95,0.95,0.6,2023
7,general industrials,0.62,0.86,0.21,2023
8,industrial support services,0.09,0.73,0.09,2023
9,industrial transportation,1.0,0.67,0.67,2023
10,medical equipment and services; health care providers,0.0,0.75,0.0,2023
11,not applicable,1.0,1.0,0.0,2023
12,"oil, gas, & coal",1.0,1.0,0.62,2023
13,personal goods,1.0,0.96,0.5,2023
14,software & computer services,0.08,1.0,0.08,2023
15,technology hardware & equip...,0.0,1.0,0.0,2023
16,telecommunications equipment; telecommunications service providers,1.0,1.0,0.0,2023
17,travel & leisure,0.5,0.5,0.0,2023
