Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,37,37,33,13,1.0,0.89,0.35
2012.0,57,53,50,21,0.93,0.88,0.37
2013.0,67,50,52,12,0.75,0.78,0.18
2014.0,86,57,67,14,0.66,0.78,0.16
2015.0,91,68,76,22,0.75,0.84,0.24
2016.0,96,72,80,20,0.75,0.83,0.21
2017.0,103,79,86,31,0.77,0.83,0.3
2018.0,129,105,112,38,0.81,0.87,0.29
2019.0,142,107,125,36,0.75,0.88,0.25
2020.0,136,107,121,53,0.79,0.89,0.39
2021.0,210,168,178,105,0.8,0.85,0.5
2022.0,226,191,199,111,0.85,0.88,0.49
2023.0,190,185,183,125,0.97,0.96,0.66
