,Sector,intersection,climate,health
0,aerospace & defense,46.0,798.0,921.0
1,alternative energy,10.0,464.0,214.0
2,automobiles & parts,36.0,1235.0,1121.0
3,banks,22.0,686.0,661.0
4,beverages,46.0,739.0,1152.0
5,chemicals,26.0,273.0,696.0
6,construction & materials,193.0,2787.0,3235.0
7,diversified,29.0,502.0,885.0
8,electricity,4.0,186.0,125.0
9,electronic & electrical equ...,16.0,99.0,188.0
10,finance and credit services,97.0,1125.0,1145.0
11,financial services,77.0,1834.0,1799.0
12,food producers,47.0,563.0,1183.0
13,general industrials,114.0,1684.0,2502.0
14,household goods & home cons...,22.0,438.0,683.0
15,industrial engineering,146.0,1908.0,2325.0
16,industrial materials,54.0,1427.0,959.0
17,industrial metals & mining,27.0,1162.0,1053.0
18,industrial metals and mining,9.0,254.0,137.0
19,industrial support services,86.0,1172.0,1580.0
20,industrial transportation,25.0,385.0,409.0
21,investment banking and brokerage services,0.0,23.0,7.0
22,leisure goods,9.0,136.0,265.0
23,life insurance,45.0,702.0,2056.0
24,media,7.0,118.0,197.0
25,medical equipment and services; health care providers,87.0,372.0,2296.0
26,nonlife insurance,31.0,345.0,712.0
27,not applicable,0.0,12.0,29.0
28,"oil, gas, & coal",52.0,944.0,964.0
29,personal goods,57.0,857.0,1202.0
30,pharmaceuticals & biotechno...,92.0,438.0,2349.0
31,real estate investment & se...,206.0,3864.0,4071.0
32,real estate investment trusts,3.0,87.0,82.0
33,retailers,70.0,1503.0,1666.0
34,software & computer services,28.0,732.0,754.0
35,technology hardware & equip...,50.0,769.0,993.0
36,telecommunications equipment; telecommunications service providers,38.0,735.0,988.0
37,travel & leisure,41.0,1197.0,1229.0
