,Sector,intersection,health,climate
0,aerospace & defense,6.0,80.5,66.0
1,alternative energy,1.0,31.5,86.5
2,automobiles & parts,1.2,20.6,62.6
3,banks,2.0,20.17,30.17
4,beverages,2.0,40.75,28.0
5,chemicals,1.0,26.5,15.0
6,construction & materials,4.55,50.36,60.82
7,diversified,0.5,24.75,24.5
8,electricity,0.0,1.0,2.0
9,electronic & electrical equ...,1.0,10.5,4.5
10,finance and credit services,2.6,26.5,55.3
11,food producers,6.0,68.67,22.33
12,general industrials,3.15,39.77,52.46
13,household goods & home cons...,0.0,34.0,33.0
14,industrial engineering,4.62,70.62,85.75
15,industrial materials,1.0,50.67,80.5
16,industrial metals and mining,2.25,34.25,63.5
17,industrial support services,2.39,30.28,36.22
18,industrial transportation,0.67,10.33,13.0
19,investment banking and brokerage services,0.0,7.0,23.0
20,leisure goods,3.0,44.5,36.0
21,life insurance,3.0,97.0,44.5
22,media,0.0,7.0,11.0
23,medical equipment and services; health care providers,9.71,122.86,42.0
24,nonlife insurance,1.0,24.0,18.0
25,not applicable,0.0,29.0,12.0
26,"oil, gas, & coal",2.0,57.0,87.0
27,personal goods,4.8,56.8,39.6
28,pharmaceuticals & biotechno...,8.38,96.75,26.5
29,real estate investment & se...,2.25,43.69,59.06
30,real estate investment trusts,3.0,50.0,67.0
31,retailers,2.2,37.8,63.4
32,software & computer services,1.4,25.9,32.6
33,technology hardware & equip...,2.6,35.4,32.6
34,telecommunications equipment; telecommunications service providers,7.25,56.0,92.75
35,travel & leisure,1.33,52.33,39.0
