,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,26.0,848.0,892.0,1766.0
1,1,Europe,2012.0,44.0,1206.0,980.0,2230.0
2,2,Europe,2013.0,25.0,1036.0,1099.0,2160.0
3,3,Europe,2014.0,27.0,1083.0,1193.0,2303.0
4,4,Europe,2015.0,40.0,1007.0,1462.0,2509.0
5,5,Europe,2016.0,35.0,1045.0,1248.0,2328.0
6,6,Europe,2017.0,74.0,1383.0,1500.0,2957.0
7,7,Europe,2018.0,74.0,1482.0,2337.0,3893.0
8,8,Europe,2019.0,87.0,1792.0,2943.0,4822.0
9,9,Europe,2020.0,128.0,2615.0,3551.0,6294.0
10,10,Europe,2021.0,397.0,4342.0,8622.0,13361.0
11,11,Europe,2022.0,419.0,5875.0,8523.0,14817.0
12,12,Europe,2023.0,572.0,8841.0,8483.0,17896.0
