,WHO,Year,intersection,climate,health,sum,Sector
0,Europe,2013.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
1,Europe,2014.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
2,Europe,2015.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
3,Europe,2016.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
4,Europe,2017.0,0.0,4.0,87.0,91.0,medical equipment and services; health care providers or health care
5,Europe,2018.0,1.0,6.0,223.0,230.0,medical equipment and services; health care providers or health care
6,Europe,2019.0,0.0,1.0,84.0,85.0,medical equipment and services; health care providers or health care
7,Europe,2020.0,0.0,25.0,265.0,290.0,medical equipment and services; health care providers or health care
8,Europe,2021.0,3.0,9.0,141.0,153.0,medical equipment and services; health care providers or health care
9,Europe,2022.0,15.0,33.0,624.0,672.0,medical equipment and services; health care providers or health care
10,Europe,2023.0,68.0,294.0,860.0,1222.0,medical equipment and services; health care providers or health care
