,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2013.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
1,Very High,2014.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
2,Very High,2015.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
3,Very High,2016.0,0.0,0.0,3.0,3.0,medical equipment and services; health care providers or health care
4,Very High,2017.0,0.0,4.0,87.0,91.0,medical equipment and services; health care providers or health care
5,Very High,2018.0,1.0,6.0,223.0,230.0,medical equipment and services; health care providers or health care
6,Very High,2019.0,0.0,1.0,84.0,85.0,medical equipment and services; health care providers or health care
7,Very High,2020.0,0.0,25.0,265.0,290.0,medical equipment and services; health care providers or health care
8,Very High,2021.0,3.0,9.0,141.0,153.0,medical equipment and services; health care providers or health care
9,Very High,2022.0,15.0,33.0,624.0,672.0,medical equipment and services; health care providers or health care
10,Very High,2023.0,68.0,294.0,860.0,1222.0,medical equipment and services; health care providers or health care
