,Sector,intersection,health,climate
0,alternative energy,1.5,47.0,71.0
1,banks,0.5,9.0,84.5
2,beverages,10.0,171.0,188.0
3,chemicals,13.0,89.2,81.6
4,construction & materials,2.67,76.0,89.0
5,diversified,5.14,34.71,37.43
6,electricity,2.0,52.0,51.0
7,electronic & electrical equ...,0.0,8.0,22.0
8,finance and credit services,5.75,27.75,144.25
9,food producers,7.25,85.25,60.25
10,"gas, water & multiutilities",0.0,4.0,0.0
11,general industrials,1.0,25.5,18.5
12,household goods & home cons...,5.0,66.0,59.0
13,industrial engineering,2.0,39.0,71.67
14,industrial materials,1.0,44.0,16.0
15,industrial metals and mining,19.0,185.0,57.0
16,industrial support services,3.17,70.0,104.33
17,industrial transportation,5.0,53.5,95.5
18,life insurance,1.0,55.0,56.0
19,medical equipment and services; health care providers,11.0,16.0,47.0
20,not applicable,0.0,0.0,2.0
21,"oil, gas, & coal",3.0,36.0,101.0
22,open end and miscellaneous investment vehicles,0.0,1.0,5.0
23,personal goods,5.0,64.67,32.33
24,pharmaceuticals & biotechno...,26.5,273.5,83.75
25,retailers,3.0,80.5,59.0
26,software & computer services,3.7,41.3,49.0
27,technology hardware & equip...,0.0,1.0,0.0
28,travel & leisure,3.0,69.0,40.5
