,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Europe,2011.0,25.0,319.0,610.0,954.0
1,1,Europe,2012.0,27.0,387.0,481.0,895.0
2,2,Europe,2013.0,29.0,286.0,572.0,887.0
3,3,Europe,2014.0,40.0,427.0,755.0,1222.0
4,4,Europe,2015.0,32.0,411.0,816.0,1259.0
5,5,Europe,2016.0,34.0,519.0,825.0,1378.0
6,6,Europe,2017.0,37.0,501.0,776.0,1314.0
7,7,Europe,2018.0,41.0,776.0,1090.0,1907.0
8,8,Europe,2019.0,70.0,1031.0,1375.0,2476.0
9,9,Europe,2020.0,107.0,1181.0,1431.0,2719.0
10,10,Europe,2021.0,241.0,1958.0,2890.0,5089.0
11,11,Europe,2022.0,227.0,3130.0,3193.0,6550.0
12,12,Europe,2023.0,429.0,4950.0,4961.0,10340.0
