,HDI Level (2021),Year,intersection,climate,health,sum,Sector
0,Very High,2012.0,0.0,2.0,18.0,20.0,medical equipment and services; health care providers or health care
1,Very High,2013.0,0.0,0.0,21.0,21.0,medical equipment and services; health care providers or health care
2,Very High,2014.0,0.0,0.0,30.0,30.0,medical equipment and services; health care providers or health care
3,Very High,2016.0,0.0,0.0,56.0,56.0,medical equipment and services; health care providers or health care
4,Very High,2017.0,0.0,19.0,32.0,51.0,medical equipment and services; health care providers or health care
5,Very High,2018.0,0.0,25.0,108.0,133.0,medical equipment and services; health care providers or health care
6,Very High,2019.0,0.0,48.0,148.0,196.0,medical equipment and services; health care providers or health care
7,Very High,2020.0,1.0,57.0,116.0,174.0,medical equipment and services; health care providers or health care
8,Very High,2021.0,3.0,75.0,226.0,304.0,medical equipment and services; health care providers or health care
9,Very High,2022.0,4.0,51.0,148.0,203.0,medical equipment and services; health care providers or health care
10,Very High,2023.0,11.0,47.0,16.0,74.0,medical equipment and services; health care providers or health care
