,Sector,intersection,climate,health
0,automobiles & parts,0.0,2.0,29.0
1,banks,0.0,0.0,34.0
2,beverages,0.0,0.0,0.0
3,construction & materials,2.0,9.0,33.0
4,financial services,0.0,9.0,97.0
5,industrial support services,0.0,0.0,2.0
6,industrial transportation,0.0,0.0,0.0
7,media,0.0,2.0,8.0
8,medical equipment and services; health care providers,0.0,0.0,34.0
9,"oil, gas, & coal",1.0,22.0,22.0
10,pharmaceuticals & biotechno...,0.0,0.0,0.0
11,telecommunications equipment; telecommunications service providers,0.0,1.0,6.0
