,Sector,Climate,Health,Intersection,Year
0,automobiles & parts,0.4,1.0,0.0,2023
1,banks,0.0,1.0,0.0,2023
2,beverages,0.0,0.0,0.0,2023
3,construction & materials,0.41,0.53,0.12,2023
4,financial services,0.69,0.77,0.0,2023
5,industrial support services,0.0,0.14,0.0,2023
6,industrial transportation,0.0,0.0,0.0,2023
7,media,0.18,0.55,0.0,2023
8,medical equipment and services; health care providers,0.0,1.0,0.0,2023
9,"oil, gas, & coal",1.0,1.0,1.0,2023
10,pharmaceuticals & biotechno...,0.0,0.0,0.0,2023
11,telecommunications equipment; telecommunications service providers,1.0,1.0,0.0,2023
