,Sector,intersection,climate,health
0,alternative energy,3.0,78.0,33.0
1,automobiles & parts,8.0,140.0,179.0
2,beverages,11.0,117.0,190.0
3,chemicals,81.0,1174.0,657.0
4,construction & materials,5.0,32.0,48.0
5,diversified,22.0,433.0,419.0
6,electricity,12.0,589.0,209.0
7,electronic & electrical equ...,3.0,177.0,124.0
8,finance and credit services,0.0,106.0,42.0
9,food producers,122.0,1245.0,1456.0
10,general industrials,19.0,258.0,255.0
11,household goods & home cons...,65.0,447.0,962.0
12,industrial support services,0.0,0.0,2.0
13,media,18.0,343.0,30.0
14,medical equipment and services; health care providers,2.0,50.0,90.0
15,"oil, gas, & coal",111.0,1804.0,1824.0
16,personal goods,4.0,67.0,179.0
17,real estate investment & se...,6.0,36.0,139.0
18,real estate investment trusts,0.0,0.0,4.0
19,retailers,74.0,482.0,944.0
20,software & computer services,0.0,2.0,2.0
21,technology hardware & equip...,3.0,13.0,242.0
22,telecommunications equipment; telecommunications service providers,4.0,66.0,153.0
