,Sector,intersection,health,climate
0,alternative energy,3.0,30.0,78.0
1,automobiles & parts,8.0,167.0,140.0
2,beverages,11.0,190.0,117.0
3,chemicals,10.0,73.5,180.5
4,construction & materials,5.0,48.0,31.0
5,diversified,1.33,77.67,82.67
6,electricity,3.5,44.5,225.5
7,electronic & electrical equ...,3.0,114.0,176.0
8,finance and credit services,0.0,42.0,106.0
9,food producers,9.5,88.5,104.25
10,general industrials,6.5,103.0,124.0
11,household goods & home cons...,32.5,481.0,223.5
12,"oil, gas, & coal",9.0,75.0,163.0
13,personal goods,4.0,34.0,47.0
14,retailers,16.5,121.0,127.5
