,Sector,Climate,Health,Intersection,Year
0,alternative energy,0.5,1.0,0.5,2023
1,automobiles & parts,0.1,0.5,0.1,2023
2,beverages,1.0,1.0,1.0,2023
3,chemicals,1.0,1.0,0.89,2023
4,construction & materials,0.67,0.33,0.33,2023
5,diversified,0.8,0.9,0.3,2023
6,electricity,1.0,1.0,1.0,2023
7,electronic & electrical equ...,1.0,1.0,0.5,2023
8,finance and credit services,1.0,1.0,0.0,2023
9,food producers,0.89,0.93,0.75,2023
10,general industrials,0.31,1.0,0.19,2023
11,household goods & home cons...,1.0,1.0,1.0,2023
12,industrial support services,0.0,1.0,0.0,2023
13,media,1.0,1.0,1.0,2023
14,medical equipment and services; health care providers,1.0,1.0,0.14,2023
15,"oil, gas, & coal",1.0,1.0,0.81,2023
16,personal goods,0.4,0.8,0.1,2023
17,real estate investment & se...,0.8,1.0,0.4,2023
18,real estate investment trusts,0.0,1.0,0.0,2023
19,retailers,1.0,1.0,0.86,2023
20,software & computer services,1.0,0.5,0.0,2023
21,technology hardware & equip...,0.24,0.68,0.04,2023
22,telecommunications equipment; telecommunications service providers,1.0,1.0,0.5,2023
