,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011.0,0.0,0.0,24.0,24.0
1,Eastern Mediterranean,2012.0,0.0,0.0,33.0,33.0
2,Eastern Mediterranean,2013.0,0.0,1.0,38.0,39.0
3,Eastern Mediterranean,2014.0,0.0,10.0,22.0,32.0
4,Eastern Mediterranean,2015.0,1.0,17.0,71.0,89.0
5,Eastern Mediterranean,2016.0,2.0,13.0,52.0,67.0
6,Eastern Mediterranean,2017.0,0.0,9.0,57.0,66.0
7,Eastern Mediterranean,2018.0,1.0,13.0,61.0,75.0
8,Eastern Mediterranean,2019.0,1.0,22.0,107.0,130.0
9,Eastern Mediterranean,2020.0,2.0,8.0,93.0,103.0
10,Eastern Mediterranean,2021.0,6.0,26.0,141.0,173.0
11,Eastern Mediterranean,2022.0,4.0,42.0,192.0,238.0
12,Eastern Mediterranean,2023.0,1.0,39.0,91.0,131.0
