,Sector,intersection,climate,health
0,alternative energy,0.0,17.0,18.0
1,automobiles & parts,2.0,7.0,52.0
2,banks,0.0,20.0,55.0
3,beverages,1.0,7.0,22.0
4,chemicals,0.0,0.0,20.0
5,construction & materials,10.0,33.0,145.0
6,diversified,0.0,28.0,48.0
7,electronic & electrical equ...,0.0,0.0,13.0
8,finance and credit services,0.0,0.0,4.0
9,financial services,0.0,3.0,12.0
10,food producers,0.0,21.0,149.0
11,"gas, water & multiutilities",0.0,6.0,43.0
12,general industrials,1.0,8.0,100.0
13,industrial engineering,0.0,0.0,9.0
14,industrial metals and mining,0.0,22.0,50.0
15,industrial support services,0.0,1.0,8.0
16,"oil, gas, & coal",4.0,21.0,122.0
17,personal goods,0.0,0.0,65.0
18,pharmaceuticals & biotechno...,0.0,1.0,10.0
19,software & computer services,0.0,0.0,22.0
20,telecommunications equipment; telecommunications service providers,0.0,5.0,14.0
21,travel & leisure,0.0,0.0,1.0
