,index,LC_grouping,Year,intersection,climate,health,sum
0,0,Africa,2011.0,0.0,0.0,24.0,24.0
1,1,Africa,2012.0,0.0,0.0,33.0,33.0
2,2,Africa,2013.0,0.0,1.0,38.0,39.0
3,3,Africa,2014.0,0.0,10.0,22.0,32.0
4,4,Africa,2015.0,1.0,17.0,71.0,89.0
5,5,Africa,2016.0,2.0,13.0,52.0,67.0
6,6,Africa,2017.0,0.0,9.0,57.0,66.0
7,7,Africa,2018.0,1.0,13.0,61.0,75.0
8,8,Africa,2019.0,1.0,22.0,107.0,130.0
9,9,Africa,2020.0,2.0,8.0,93.0,103.0
10,10,Africa,2021.0,6.0,26.0,141.0,173.0
11,11,Africa,2022.0,4.0,42.0,192.0,238.0
12,12,Africa,2023.0,1.0,39.0,91.0,131.0
