,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,14.0,497.0,1038.0,1549.0
1,Europe,2012.0,20.0,546.0,1380.0,1946.0
2,Europe,2013.0,27.0,628.0,1072.0,1727.0
3,Europe,2014.0,33.0,721.0,1253.0,2007.0
4,Europe,2015.0,40.0,591.0,1367.0,1998.0
5,Europe,2016.0,54.0,817.0,1717.0,2588.0
6,Europe,2017.0,43.0,654.0,1282.0,1979.0
7,Europe,2018.0,68.0,903.0,1342.0,2313.0
8,Europe,2019.0,76.0,1078.0,1542.0,2696.0
9,Europe,2020.0,123.0,1215.0,2140.0,3478.0
10,Europe,2021.0,394.0,2594.0,4937.0,7925.0
11,Europe,2022.0,334.0,2930.0,4477.0,7741.0
12,Europe,2023.0,824.0,14025.0,8387.0,23236.0
