,Sector,intersection,health,climate
0,alternative energy,6.5,39.0,85.5
1,automobiles & parts,6.0,51.75,91.12
2,banks,11.75,97.75,245.25
3,chemicals,3.43,65.0,50.71
4,construction & materials,5.67,55.0,63.0
5,diversified,6.0,68.93,101.53
6,electricity,9.33,53.75,161.5
7,electronic & electrical equ...,6.33,112.67,217.0
8,finance and credit services,4.0,19.0,45.0
9,food producers,8.5,70.17,86.0
10,general industrials,3.18,51.0,73.27
11,household goods & home cons...,11.5,102.0,269.0
12,industrial metals and mining,9.4,83.0,122.8
13,industrial support services,6.5,60.0,87.5
14,industrial transportation,5.0,43.5,45.0
15,investment banking and brokerage services,0.0,2.0,0.0
16,life insurance,2.0,44.0,78.0
17,media,4.0,59.0,117.0
18,nonlife insurance,10.0,70.33,157.0
19,not applicable,2.67,14.67,30.33
20,"oil, gas, & coal",11.0,64.5,158.25
21,pharmaceuticals & biotechno...,6.0,131.33,44.67
22,real estate investment trusts,4.0,43.0,63.0
23,retailers,6.0,73.12,133.0
24,software & computer services,1.33,26.33,24.0
25,telecommunications equipment; telecommunications service providers,7.5,98.5,161.0
26,travel & leisure,2.0,45.0,68.0
