,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,14.0,136.0,233.0,383.0
1,Europe,2012.0,1.0,74.0,182.0,257.0
2,Europe,2013.0,6.0,42.0,176.0,224.0
3,Europe,2014.0,0.0,24.0,113.0,137.0
4,Europe,2015.0,0.0,54.0,214.0,268.0
5,Europe,2016.0,4.0,30.0,131.0,165.0
6,Europe,2017.0,2.0,38.0,121.0,161.0
7,Europe,2018.0,1.0,65.0,170.0,236.0
8,Europe,2019.0,2.0,75.0,88.0,165.0
9,Europe,2020.0,5.0,80.0,184.0,269.0
10,Europe,2021.0,34.0,464.0,711.0,1209.0
11,Europe,2022.0,0.0,0.0,26.0,26.0
12,Europe,2023.0,77.0,1183.0,1223.0,2483.0
