Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,6,3,6,2,0.5,1.0,0.33
2012.0,10,5,9,2,0.5,0.9,0.2
2013.0,12,6,10,2,0.5,0.83,0.17
2014.0,15,6,9,1,0.4,0.6,0.07
2015.0,20,14,19,3,0.7,0.95,0.15
2016.0,25,14,17,2,0.56,0.68,0.08
2017.0,26,17,22,2,0.65,0.85,0.08
2018.0,28,15,23,5,0.54,0.82,0.18
2019.0,27,18,24,3,0.67,0.89,0.11
2020.0,24,16,21,4,0.67,0.88,0.17
2021.0,39,27,35,13,0.69,0.9,0.33
2022.0,35,28,32,12,0.8,0.91,0.34
2023.0,15,13,13,13,0.87,0.87,0.87
