,WHO,Year,intersection,climate,health,sum
0,Eastern Mediterranean,2011.0,4.0,21.0,84.0,109.0
1,Eastern Mediterranean,2012.0,2.0,16.0,165.0,183.0
2,Eastern Mediterranean,2013.0,8.0,24.0,294.0,326.0
3,Eastern Mediterranean,2014.0,1.0,18.0,137.0,156.0
4,Eastern Mediterranean,2015.0,3.0,43.0,260.0,306.0
5,Eastern Mediterranean,2016.0,2.0,63.0,204.0,269.0
6,Eastern Mediterranean,2017.0,2.0,69.0,291.0,362.0
7,Eastern Mediterranean,2018.0,6.0,245.0,380.0,631.0
8,Eastern Mediterranean,2019.0,3.0,83.0,366.0,452.0
9,Eastern Mediterranean,2020.0,7.0,101.0,366.0,474.0
10,Eastern Mediterranean,2021.0,41.0,267.0,988.0,1296.0
11,Eastern Mediterranean,2022.0,35.0,503.0,823.0,1361.0
12,Eastern Mediterranean,2023.0,105.0,1056.0,1210.0,2371.0
