,HDI Level (2021),Year,intersection,climate,health,sum
0,Very High,2011.0,4.0,21.0,84.0,109.0
1,Very High,2012.0,2.0,16.0,165.0,183.0
2,Very High,2013.0,8.0,24.0,294.0,326.0
3,Very High,2014.0,1.0,18.0,137.0,156.0
4,Very High,2015.0,3.0,43.0,260.0,306.0
5,Very High,2016.0,2.0,63.0,204.0,269.0
6,Very High,2017.0,2.0,69.0,291.0,362.0
7,Very High,2018.0,6.0,245.0,380.0,631.0
8,Very High,2019.0,3.0,83.0,366.0,452.0
9,Very High,2020.0,7.0,101.0,366.0,474.0
10,Very High,2021.0,41.0,267.0,988.0,1296.0
11,Very High,2022.0,35.0,503.0,823.0,1361.0
12,Very High,2023.0,105.0,1056.0,1210.0,2371.0
