,WHO,Year,intersection,climate,health,sum
0,Europe,2011.0,65.0,823.0,1800.0,2688.0
1,Europe,2012.0,60.0,710.0,1737.0,2507.0
2,Europe,2013.0,103.0,806.0,1640.0,2549.0
3,Europe,2014.0,87.0,1140.0,1664.0,2891.0
4,Europe,2015.0,64.0,951.0,1430.0,2445.0
5,Europe,2016.0,80.0,1040.0,2124.0,3244.0
6,Europe,2017.0,110.0,1226.0,2194.0,3530.0
7,Europe,2018.0,76.0,949.0,1969.0,2994.0
8,Europe,2019.0,65.0,1404.0,1911.0,3380.0
9,Europe,2020.0,116.0,1680.0,2063.0,3859.0
10,Europe,2021.0,386.0,3967.0,5435.0,9788.0
11,Europe,2022.0,363.0,4336.0,3973.0,8672.0
12,Europe,2023.0,682.0,10956.0,6451.0,18089.0
