Year,Companies (N),Climate (N),Health (N),Intersection (N),Climate (Prop),Health (Prop),Intersection (Prop)
2011.0,81,58,65,22,0.72,0.8,0.27
2012.0,108,69,86,26,0.64,0.8,0.24
2013.0,120,74,93,34,0.62,0.78,0.28
2014.0,122,73,96,26,0.6,0.79,0.21
2015.0,134,83,109,34,0.62,0.81,0.25
2016.0,138,91,115,37,0.66,0.83,0.27
2017.0,133,103,112,44,0.77,0.84,0.33
2018.0,145,105,119,46,0.72,0.82,0.32
2019.0,161,116,133,53,0.72,0.83,0.33
2020.0,159,134,141,69,0.84,0.89,0.43
2021.0,238,209,214,137,0.88,0.9,0.58
2022.0,268,223,232,154,0.83,0.87,0.57
2023.0,215,204,203,147,0.95,0.94,0.68
