,WHO,Year,intersection,climate,health,sum
0,Americas,2011.0,112.0,1293.0,2737.0,4142.0
1,Americas,2012.0,83.0,1383.0,2790.0,4256.0
2,Americas,2013.0,113.0,1280.0,3568.0,4961.0
3,Americas,2014.0,101.0,1513.0,4965.0,6579.0
4,Americas,2015.0,191.0,1818.0,6248.0,8257.0
5,Americas,2016.0,213.0,1971.0,5661.0,7845.0
6,Americas,2017.0,203.0,1981.0,5359.0,7543.0
7,Americas,2018.0,174.0,1864.0,5030.0,7068.0
8,Americas,2019.0,211.0,2401.0,4608.0,7220.0
9,Americas,2020.0,274.0,3179.0,5512.0,8965.0
10,Americas,2021.0,787.0,5593.0,12221.0,18601.0
11,Americas,2022.0,921.0,8409.0,10638.0,19968.0
12,Americas,2023.0,1043.0,12819.0,11815.0,25677.0
